Repository,Views,Uniques,Clones,Contributors,Forks,Stars,Watchers
cloud-formulas,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,49,8,21,1,5,29,5
formulas-4-tests,1,1,9,2,0,0,1
formulas-aws,39,2,5,2,1,2,1
formulas-github,96,33,51,3,3,12,2
formulas-insights,34,7,9,1,0,1,1
formulas-office-hours,0,0,0,1,0,0,1
formulas-python,359,56,13,2,3,9,2
formulas-training,9,2,7,1,0,0,1
GuillaumeFalourd,88,13,138,2,7,0,1
java-backend-trail,14,2,0,1,0,1,1
mapas-mentais,0,0,0,2,0,0,0
my-contents,0,0,0,1,0,0,1
noticias,0,0,0,1,0,0,0
poc-bank-api-java,5,2,9,1,0,2,1
poc-bank-api-kotlin,0,0,5,1,0,0,1
poc-chalice-python,137,38,14,1,0,1,1
poc-django-python,0,0,5,1,0,0,1
poc-github-actions,1,1,58,1,0,0,1
poc-grpc-python,0,0,0,1,0,0,1
poc-kafka-python,3,1,6,1,0,0,1
poc-rest-api-python,6,2,3,1,0,0,1
repositories-reports,0,0,0,1,0,0,1
rit-aws-test-cluster,10,1,0,2,0,0,1
ritchie-action-go-15,0,0,7,1,0,0,1
ritchie-action-java-8,0,0,4,1,0,0,1
ritchie-action-node,1,1,6,1,0,0,1
ritchie-action-python,0,0,4,1,0,0,1
ritchie-action-shell,1,1,34,1,0,0,1
ritchie-cli,0,0,0,30,0,0,0
ritchie-docker-images,3,2,0,1,0,0,1
ritchie-formulas,1,1,1,30,0,0,0
ritchie-formulas-demo,0,0,0,2,0,0,0
ritchie-formulas-scheduler-demo,178,4,17,1,0,0,1
ritchie-tdc-poa,0,0,0,1,0,0,1
ritchie-tdc-recife,0,0,0,1,0,0,1
ritchie-templates,0,0,0,2,0,0,1
tdc-innovation-ritchie,44,2,11,1,0,0,1
vagas,0,0,0,2,0,0,0
