Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,11,0,0,0
ritchie-formulas-scheduler-demo,29,16,0,1,3,5,2
ritchie-tdc-poa,0,0,0,1,0,1,1
ritchie-tdc-recife,0,0,2,1,0,1,1
ritchie-templates,0,0,0,1,0,1,0
ritchie-templates-perso,0,0,0,2,0,0,1
setup-rsync,32,6,0,1,0,2,1
setup-windows10-sdk-action,128,21,46,3,3,10,1
sign-and-notarize-gha,9,5,2,1,0,0,1
so-automation,0,0,0,1,0,0,1
splain,1,1,0,14,0,0,0
SSH-to-HTTPS,2,1,0,1,1,1,1
stk-quickstart-golang,6,1,0,1,0,0,1
test,0,0,0,2,0,0,0
useful-actions,83,43,493,4,7,127,1
vagas,0,0,0,2,0,0,0
wait-on-check-action,0,0,0,10,0,0,0
wait-sleep-action,3,2,2,1,0,0,1
webhooks-python,0,0,1,1,0,0,1
xcode-notarize,0,0,0,2,0,0,0
actions-download-file,0,0,2,5,0,0,0
Alphasians-AINA,1,1,0,2,0,0,0
apisec-run-scan,0,0,2,4,0,0,0
article_foss4g2021,0,0,0,9,0,0,0
assert-command-line-output,15,8,0,1,2,10,1
aws-clis-action,0,0,0,1,0,4,1
aws-doc-sdk-examples,0,0,0,30,0,0,0
bot-area,17,1,1,3,1,0,0
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,240,76,46,1,1,12,2
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,0,0,0,1,0,0,1
convert-json-to-env,7,2,0,1,0,0,1
copy-push-files,30,4,0,1,2,0,1
create-other-repo-branch-action,41,15,1,2,1,3,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,1,1,0,2,0,0,0
developers-tips-and-tricks-resources,5,3,6,1,16,58,7
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
