Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
poc-remote-workflow,0,0,1,1,0,0,2
poc-rest-api-golang,0,0,2,1,0,0,2
poc-rest-api-python,1,1,1,2,0,0,2
poc-runtimes,0,0,0,2,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,0,0,1,2,0,1,2
poc-template-rest,0,0,3,2,0,0,1
poc-terraform,0,0,0,1,0,0,1
poc-testing-rest-api-golang,0,0,0,2,0,0,1
poc-typescript,0,0,1,2,0,0,2
poc-viper,0,0,2,1,0,0,2
Practic,0,0,2,1,0,0,1
publicacoes,0,0,3,1,0,0,1
pull-request-action,0,0,14,1,1,3,2
read-java-properties-file,0,0,0,1,0,0,1
replace-values-action,0,0,2,1,0,0,2
repo-template,0,0,0,1,0,0,2
repo1,0,0,0,2,0,0,1
repositories-reports,0,0,12,1,1,5,2
ritchie-action-go-15,0,0,1,1,0,0,2
ritchie-action-java-8,0,0,1,1,1,1,2
ritchie-action-node,0,0,1,1,0,0,2
ritchie-action-python,0,0,1,1,0,1,2
ritchie-action-shell,0,0,1,1,0,0,2
ritchie-cli,0,0,2,30,0,0,1
ritchie-cli-action,2,1,1,1,1,2,2
ritchie-demo-create-cluster,0,0,2,1,2,2,2
ritchie-docker-images,3,2,2,1,0,1,2
ritchie-formulas,0,0,2,30,0,0,1
ritchie-formulas-demo,0,0,2,11,0,0,1
ritchie-formulas-scheduler-demo,49,36,1,1,3,5,3
ritchie-tdc-poa,0,0,0,1,1,1,2
ritchie-tdc-recife,0,0,0,1,0,1,2
ritchie-templates,0,0,2,1,0,1,1
ritchie-templates-perso,0,0,4,2,0,0,2
runtime-deploy,0,0,0,2,0,0,1
runtime-deploy-action,0,0,0,1,0,0,1
runtime-knowledge-sources,0,0,0,1,0,0,1
schemastore-stackspot,0,0,1,6,0,0,1
setup-rsync,9,5,55,3,3,10,2
setup-windows10-sdk-action,29,18,53,6,15,27,3
sign-and-notarize-gha,10,8,3,1,1,8,2
so-automation,0,0,0,1,0,0,1
splain,0,0,1,12,0,0,1
SSH-to-HTTPS,1,1,3,1,1,1,2
stackspot-actions,9,3,30,1,0,0,1
stackspot-ai-rqc,4,2,95,2,1,7,1
stackspot-ai-security-action-poc,33,4,32,1,2,3,2
stackspot-plugins,0,0,1,1,0,1,2
stk-cli-action,0,0,5,2,0,0,1
stk-cli-action-poc,0,0,2,1,0,0,2
stk-quickstart-golang,1,1,1,1,0,0,2
test,0,0,0,2,0,0,1
TestCreateSecret,0,0,1,2,0,0,1
useful-actions,72,32,615,6,25,277,3
vagas,0,0,2,2,0,0,1
viagem,0,0,0,3,0,0,1
wait-on-check-action,0,0,0,10,0,0,1
wait-sleep-action,12,2,1,1,0,3,2
webhooks-python,0,0,0,1,0,0,2
write-java-properties-file,0,0,21,2,0,3,2
xcode-notarize,4,3,2,2,2,3,1
actions-download-file,0,0,1,5,0,0,1
Alphasians-AINA,0,0,2,2,0,0,1
amplify-vite-react-template,3,1,2,2,0,0,1
apisec-run-scan,0,0,2,4,0,0,1
article_foss4g2021,0,0,1,9,0,0,1
assert-command-line-output,4,4,40,2,3,18,2
awesome-chatgpt-prompts,0,0,1,30,0,0,1
aws-clis-action,0,0,1,1,0,4,2
aws-doc-sdk-examples,0,0,2,30,0,0,1
aws-ecs-cluster-using-terraform,0,0,1,1,0,0,2
bot-area,0,0,1,3,1,0,1
branch-exists,47,22,4,1,0,2,2
Calendly-mentores,0,0,3,2,0,0,1
clone-github-repo-action,128,58,41,3,21,48,3
cloud-formulas,0,0,3,2,0,1,1
command-output-file-action,0,0,6,1,0,2,2
convert-json-to-env,7,6,1,1,0,1,2
copy-push-files,2,2,0,1,4,2,2
create-other-repo-branch-action,42,20,22,2,6,11,2
CrossPipe-Connect,0,0,0,1,0,0,1
ctf-zup-2021,0,0,1,1,0,0,1
DescomplicandoDocker,0,0,2,2,0,0,1
developers-tips-and-tricks-resources,6,1,1,1,15,65,9
dezafio-java,0,0,0,2,0,0,1
dezafio-kotlin,0,0,0,3,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,2,0,0,3
diff-action,0,0,2,1,0,2,2
djangowallet,0,0,0,2,0,0,1
docker-mysql-python,48,9,2,1,4,9,3
docker-para-desenvolvedores,0,0,1,30,0,0,1
docs-ritchie,0,0,0,10,0,0,1
engineering-handbook,0,0,0,1,0,0,1
formulas-4-tests,1,1,2,2,0,2,2
formulas-aws,1,1,6,3,7,12,4
formulas-games,28,2,2,1,2,10,3
formulas-github,29,15,3,5,6,36,3
formulas-gRPC,0,0,2,2,0,3,2
formulas-insights,0,0,0,1,0,8,2
formulas-office-hours,0,0,2,1,0,1,2
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,1,1,0,1,2
formulas-python,0,0,1,2,3,17,3
formulas-training,0,0,93,1,0,0,1
formulas-v3,0,0,0,1,0,1,2
get-release-or-tag,11,3,3,1,0,0,1
git-commit-push,11,8,305,1,2,14,2
gitHub-projects,0,0,0,2,0,0,0
github-stack,0,0,0,1,0,0,2
github-team-members,0,0,0,1,0,1,2
github_actions_test,0,0,0,2,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,1,30,0,1,1
GuillaumeFalourd,19,14,314,3,105,44,4
guillaumefalourd.github.io,0,0,0,1,0,0,2
horusec-action,0,0,1,2,0,0,1
hypedsearch,0,0,6,3,0,0,1
idea-maze,0,0,1,3,0,0,1
install-poetry,0,0,0,15,0,0,1
java-exercices,30,9,1,8,12,35,3
java-training-api,24,3,28,2,43,104,4
java-trilha-basica,0,0,0,2,4,13,4
jobs-by-city-linkedin-reports,0,0,0,1,0,0,1
Kivy_calculator,0,0,1,2,0,0,1
kotlin-training-api,0,0,2,1,0,0,2
macos-installer-builder,5,1,0,3,0,0,1
mapas-mentais,0,0,1,2,0,1,1
maven-cli-jdks-action,10,3,1,1,0,0,2
my-contents,0,0,0,1,0,0,1
NFive,0,0,1,9,0,0,1
notary-tools,7,4,3,1,4,2,2
noticias,0,0,2,1,0,0,1
open-issue-action,0,0,4,1,1,2,2
oracle-plugins-new,0,0,0,3,0,0,0
os-cli-poc,0,0,0,1,0,0,1
phpunit,0,0,1,2,0,0,1
poc-ai,0,0,0,1,0,0,1
poc-bank-api-java,22,5,42,2,0,4,2
poc-bank-api-kotlin,0,0,0,2,0,0,1
poc-book-api-golang,0,0,2,1,0,0,2
poc-chalice-python,0,0,2,1,0,1,2
poc-cicd-herokuci,0,0,2,2,0,0,2
poc-cli-golang,0,0,2,2,0,1,2
poc-cli-python,0,0,1,2,0,0,3
poc-cli-translations,0,0,2,1,0,1,2
poc-composite-run-steps-action,0,0,2,1,0,0,2
poc-django-python,0,0,2,1,0,0,2
poc-encryption-jwt,0,0,2,2,3,8,2
poc-github-actions,915,306,977,4,102,309,5
poc-go-mod,0,0,3,1,0,0,2
poc-grpc-golang,0,0,2,2,0,0,2
poc-grpc-java-gradle,0,0,2,2,1,2,2
poc-grpc-java-maven,0,0,1,3,0,1,2
poc-grpc-python,1,1,0,1,0,0,2
poc-kafka-python,0,0,1,1,0,0,2
poc-kubernetes,0,0,4,1,0,0,1
poc-private-repo-actions,0,0,0,1,0,0,1
poc-proto,0,0,7,1,0,1,2
poc-pyinstaller,0,0,0,2,1,0,2
poc-pytest-split-github-actions,0,0,0,2,1,0,2
