Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
poc-remote-workflow,0,0,6,1,0,0,1
poc-rest-api-golang,0,0,10,1,0,0,1
poc-rest-api-python,0,0,7,2,0,0,1
poc-runtimes,0,0,0,2,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,1,1,17,2,0,1,1
poc-template-rest,0,0,4,2,0,0,0
poc-terraform,0,0,0,1,0,0,1
poc-testing-rest-api-golang,0,0,0,2,0,0,1
poc-typescript,0,0,11,2,0,0,1
poc-viper,0,0,7,1,0,0,1
Practic,0,0,5,1,0,0,0
publicacoes,0,0,3,1,0,0,0
pull-request-action,6,6,11,1,1,2,1
read-java-properties-file,0,0,0,1,0,0,1
replace-values-action,3,3,8,1,0,1,1
repo-template,0,0,8,1,0,0,1
repo1,0,0,5,2,0,0,0
repositories-reports,3,2,29,1,1,5,1
ritchie-action-go-15,4,4,10,1,0,0,1
ritchie-action-java-8,0,0,12,1,1,1,1
ritchie-action-node,1,1,9,1,0,0,1
ritchie-action-python,0,0,12,1,0,1,1
ritchie-action-shell,0,0,11,1,0,0,1
ritchie-cli,0,0,4,30,0,0,0
ritchie-cli-action,0,0,12,1,1,2,1
ritchie-demo-create-cluster,0,0,14,1,2,2,1
ritchie-docker-images,0,0,8,1,0,1,1
ritchie-formulas,0,0,1,30,0,0,0
ritchie-formulas-demo,0,0,4,11,0,0,0
ritchie-formulas-scheduler-demo,20,14,9,1,4,5,2
ritchie-tdc-poa,0,0,8,1,1,1,1
ritchie-tdc-recife,0,0,8,1,0,1,1
ritchie-templates,0,0,6,1,7,1,0
ritchie-templates-perso,0,0,5,2,0,0,1
runtime-deploy,0,0,2,2,0,0,0
runtime-deploy-action,0,0,0,1,0,0,1
runtime-knowledge-sources,0,0,0,1,0,0,1
schemastore-stackspot,0,0,1,6,0,0,0
setup-rsync,22,12,84,3,3,10,1
setup-windows10-sdk-action,37,21,303,7,15,32,2
sign-and-notarize-gha,10,5,8,1,1,9,1
so-automation,0,0,0,1,0,0,1
splain,0,0,1,12,0,0,0
SSH-to-HTTPS,0,0,25,1,1,1,1
stackspot-actions,1,1,16,1,0,0,1
stackspot-ai-rqc,1,1,82,2,1,7,1
stackspot-ai-security-action-poc,0,0,48,1,2,3,2
stackspot-plugins,1,1,9,1,0,1,1
stk-cli-action,0,0,1,2,0,0,0
stk-cli-action-poc,0,0,6,1,0,0,1
stk-quickstart-golang,0,0,10,1,0,0,1
test,0,0,6,2,0,0,0
TestCreateSecret,1,1,1,2,0,0,0
useful-actions,81,51,1003,6,26,292,1
vagas,0,0,1,2,0,0,0
viagem,0,0,1,3,0,0,0
wait-on-check-action,0,0,4,10,0,0,0
wait-sleep-action,2,2,36,1,0,3,1
webhooks-python,0,0,5,1,0,0,1
write-java-properties-file,4,4,11,2,0,3,1
xcode-notarize,1,1,4,2,2,2,0
actions-download-file,0,0,2,5,0,0,0
Alphasians-AINA,0,0,3,2,0,0,0
amplify-vite-react-template,11,1,6,2,0,0,1
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,0,0,4,9,0,0,0
assert-command-line-output,2,2,30,3,3,19,1
awesome-chatgpt-prompts,0,0,4,30,0,0,0
aws-clis-action,0,0,10,1,0,4,1
aws-doc-sdk-examples,0,0,6,30,0,0,0
aws-ecs-cluster-using-terraform,0,0,7,1,0,0,1
bot-area,0,0,6,3,1,0,0
branch-exists,29,9,24,1,0,2,1
Calendly-mentores,0,0,4,2,0,0,0
clone-github-repo-action,35,21,65,3,21,54,1
cloud-formulas,0,0,2,2,0,1,0
command-output-file-action,0,0,11,1,0,2,1
convert-json-to-env,4,3,6,2,1,2,1
copy-push-files,1,1,10,1,4,2,1
create-other-repo-branch-action,12,6,20,2,6,11,1
CrossPipe-Connect,0,0,0,1,0,0,1
