Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
poc-terraform,0,0,0,1,0,0,1
poc-testing-rest-api-golang,0,0,0,2,0,0,1
poc-typescript,2,1,0,2,0,0,2
poc-viper,0,0,1,1,0,0,2
Practic,0,0,0,1,0,0,1
publicacoes,0,0,0,1,0,0,1
pull-request-action,1,1,1,1,0,1,2
read-java-properties-file,0,0,0,1,0,0,1
replace-values-action,3,2,31,1,0,0,2
repo-template,0,0,0,1,0,0,2
repo1,0,0,0,2,0,0,1
repositories-reports,0,0,14,1,1,5,2
ritchie-action-go-15,0,0,0,1,0,0,2
ritchie-action-java-8,0,0,0,1,1,1,2
ritchie-action-node,0,0,0,1,0,0,2
ritchie-action-python,0,0,1,1,0,1,2
ritchie-action-shell,0,0,0,1,0,0,2
ritchie-cli,0,0,0,30,0,0,1
ritchie-cli-action,1,1,0,1,1,2,2
ritchie-demo-create-cluster,0,0,0,1,2,1,2
ritchie-docker-images,4,2,0,1,0,1,2
ritchie-formulas,0,0,0,30,0,0,1
ritchie-formulas-demo,0,0,0,11,0,0,1
ritchie-formulas-scheduler-demo,153,46,2,1,3,5,3
ritchie-tdc-poa,0,0,0,1,1,1,2
ritchie-tdc-recife,0,0,0,1,0,1,2
ritchie-templates,0,0,0,1,0,1,1
ritchie-templates-perso,0,0,0,2,0,0,2
runtime-deploy,0,0,0,2,0,0,0
runtime-deploy-action,0,0,0,1,0,0,1
schemastore-stackspot,0,0,0,6,0,0,1
setup-rsync,43,11,5,1,3,8,2
setup-windows10-sdk-action,114,15,2,5,8,19,2
sign-and-notarize-gha,2,2,0,1,0,3,2
so-automation,0,0,0,1,0,0,1
splain,2,1,0,13,0,0,1
SSH-to-HTTPS,2,1,0,1,1,1,2
stackspot-actions,0,0,0,1,0,0,2
stackspot-plugins,58,2,2,1,0,1,2
stk-cli-action,0,0,2,2,0,0,1
stk-cli-action-poc,0,0,0,1,0,0,2
stk-quickstart-golang,0,0,1,1,0,0,2
test,0,0,0,2,0,0,1
TestCreateSecret,0,0,0,2,0,0,1
useful-actions,64,36,566,4,20,212,3
vagas,0,0,0,2,0,0,1
viagem,0,0,2,3,0,0,1
wait-on-check-action,0,0,0,10,0,0,1
wait-sleep-action,37,8,0,1,0,2,2
webhooks-python,0,0,0,1,0,0,2
write-java-properties-file,15,2,1,1,0,3,2
xcode-notarize,0,0,0,2,2,2,1
actions-download-file,14,3,0,5,0,0,1
Alphasians-AINA,0,0,0,2,0,0,1
apisec-run-scan,0,0,0,4,0,0,1
article_foss4g2021,0,0,0,9,0,0,1
assert-command-line-output,36,10,2,2,3,18,2
awesome-chatgpt-prompts,0,0,0,30,0,0,1
aws-clis-action,0,0,0,1,0,4,2
aws-doc-sdk-examples,0,0,0,30,0,0,1
aws-ecs-cluster-using-terraform,0,0,3,1,0,0,1
bot-area,0,0,1,3,1,0,1
branch-exists,21,4,0,1,0,0,2
Calendly-mentores,0,0,0,2,0,0,1
clone-github-repo-action,254,47,0,2,15,37,3
cloud-formulas,0,0,0,2,0,1,1
command-output-file-action,18,6,0,1,0,1,2
convert-json-to-env,15,6,2,1,0,1,2
copy-push-files,4,3,1,1,3,1,2
create-other-repo-branch-action,97,30,2,3,6,9,2
ctf-zup-2021,0,0,0,1,0,0,1
DescomplicandoDocker,0,0,0,2,0,0,1
developers-tips-and-tricks-resources,70,4,0,1,16,64,9
dezafio-java,2,1,0,2,0,0,1
dezafio-kotlin,11,2,3,2,1,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,2,0,0,3
diff-action,46,6,0,1,0,2,2
djangowallet,0,0,0,2,0,0,1
docker-mysql-python,98,6,3,1,4,10,3
docker-para-desenvolvedores,0,0,0,30,0,0,1
docs-ritchie,0,0,0,10,0,0,1
formulas-4-tests,0,0,0,2,0,2,2
formulas-aws,1,1,3,3,7,12,4
formulas-games,264,24,4,1,2,10,3
formulas-github,85,22,2,5,6,35,3
formulas-gRPC,0,0,1,2,0,3,2
formulas-insights,22,2,2,1,0,8,2
formulas-office-hours,0,0,0,1,0,1,2
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,0,1,0,1,2
formulas-python,0,0,3,2,3,18,4
formulas-training,0,0,42,1,0,0,1
formulas-v3,0,0,0,1,0,1,2
get-release-or-tag,1,1,2,1,0,0,1
git-commit-push,56,9,217,1,1,13,3
github-stack,0,0,523,1,0,0,2
github-team-members,4,2,0,1,0,0,2
github_actions_test,0,0,1,2,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,1
GuillaumeFalourd,101,19,355,3,100,40,4
guillaumefalourd.github.io,0,0,0,1,0,0,2
horusec-action,0,0,0,2,0,0,1
hypedsearch,42,5,0,3,0,0,1
idea-maze,57,15,0,2,0,0,1
install-poetry,0,0,0,15,0,0,1
java-exercices,401,26,3,9,12,31,3
java-training-api,158,12,5,2,48,98,4
java-trilha-basica,1,1,2,2,5,12,4
jobs-by-city-linkedin-reports,0,0,0,1,0,0,1
Kivy_calculator,0,0,0,2,0,0,1
kotlin-training-api,1,1,3,1,0,0,1
macos-installer-builder,0,0,0,3,0,0,1
mapas-mentais,0,0,1,2,0,1,1
maven-cli-jdks-action,4,2,0,1,0,0,2
my-contents,0,0,0,1,0,0,1
NFive,0,0,0,9,0,0,1
notary-tools,0,0,1,1,0,1,2
noticias,0,0,0,1,0,0,1
open-issue-action,17,2,1,1,1,2,2
os-cli-poc,0,0,0,1,0,0,1
phpunit,0,0,2,2,0,0,1
poc-bank-api-java,60,4,0,2,0,4,2
poc-bank-api-kotlin,0,0,0,2,0,0,1
poc-book-api-golang,0,0,1,1,0,0,2
poc-chalice-python,0,0,0,1,0,1,2
poc-cicd-herokuci,0,0,0,1,0,0,2
poc-cli-golang,0,0,1,2,0,1,2
poc-cli-python,0,0,0,2,0,0,3
poc-cli-translations,0,0,2,1,0,1,2
poc-composite-run-steps-action,0,0,0,1,0,0,2
poc-django-python,0,0,0,1,0,0,2
poc-encryption-jwt,26,1,1,2,3,8,2
poc-github-actions,2587,442,988,3,83,216,4
poc-go-mod,0,0,1,1,0,0,2
poc-grpc-golang,0,0,13,2,0,0,2
poc-grpc-java-gradle,0,0,0,2,1,2,2
poc-grpc-java-maven,18,1,2,3,0,1,2
poc-grpc-python,0,0,0,1,0,0,2
poc-kafka-python,0,0,0,1,0,0,2
poc-private-repo-actions,0,0,0,1,0,0,1
poc-proto,0,0,0,1,0,1,2
poc-pyinstaller,2,1,0,2,1,0,2
poc-pytest-split-github-actions,0,0,0,1,1,0,2
poc-remote-workflow,0,0,1,1,0,0,2
poc-rest-api-golang,0,0,1,1,0,0,2
poc-rest-api-python,0,0,1,2,0,0,2
poc-runtimes,0,0,0,2,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,1,1,1,2,0,1,2
poc-template-rest,0,0,0,2,0,0,1
