Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
poc-typescript,0,0,1,2,0,0,2
poc-viper,0,0,0,1,0,0,2
Practic,0,0,0,1,0,0,1
publicacoes,0,0,0,1,0,0,1
pull-request-action,1,1,1,1,0,1,2
read-java-properties-file,0,0,0,1,0,0,1
replace-values-action,0,0,30,1,0,0,2
repo-template,0,0,0,1,0,0,2
repo1,0,0,0,2,0,0,1
repositories-reports,16,1,15,1,1,5,2
ritchie-action-go-15,0,0,7,1,0,0,2
ritchie-action-java-8,0,0,2,1,1,1,2
ritchie-action-node,0,0,0,1,0,0,2
ritchie-action-python,0,0,0,1,0,1,2
ritchie-action-shell,0,0,1,1,0,0,2
ritchie-cli,0,0,103,30,0,0,1
ritchie-cli-action,9,2,3,1,1,2,2
ritchie-demo-create-cluster,0,0,0,1,1,1,2
ritchie-docker-images,11,3,3,1,0,1,2
ritchie-formulas,0,0,0,30,0,0,1
ritchie-formulas-demo,0,0,3,11,0,0,1
ritchie-formulas-scheduler-demo,157,42,3,1,3,5,3
ritchie-tdc-poa,0,0,0,1,1,1,2
ritchie-tdc-recife,0,0,0,1,0,1,2
ritchie-templates,0,0,1,1,0,1,1
ritchie-templates-perso,0,0,1,2,0,0,2
runtime-deploy,152,2,69,2,0,0,0
runtime-deploy-action,42,1,0,1,0,0,1
schemastore-stackspot,0,0,1,6,0,0,1
setup-rsync,66,13,4,1,3,6,2
setup-windows10-sdk-action,92,11,3,5,9,19,2
sign-and-notarize-gha,10,8,4,1,0,3,2
so-automation,0,0,0,1,0,0,1
splain,0,0,0,14,0,0,1
SSH-to-HTTPS,17,3,0,1,1,1,2
stackspot-actions,8,1,2,1,0,0,2
stackspot-plugins,0,0,3,1,0,0,2
stk-cli-action,0,0,0,2,0,0,1
stk-cli-action-poc,0,0,2,1,0,0,2
stk-quickstart-golang,0,0,0,1,0,0,2
test,0,0,0,2,0,0,1
TestCreateSecret,0,0,1,2,0,0,1
useful-actions,84,42,551,4,13,207,3
vagas,0,0,0,2,0,0,1
viagem,0,0,1,3,0,0,1
wait-on-check-action,0,0,7,10,0,0,1
wait-sleep-action,6,2,5,1,0,0,2
webhooks-python,0,0,1,1,0,0,2
write-java-properties-file,0,0,3,1,0,2,2
xcode-notarize,19,2,7,2,0,1,1
actions-download-file,5,1,2,5,0,0,1
Alphasians-AINA,0,0,0,2,0,0,1
apisec-run-scan,0,0,0,4,0,0,1
article_foss4g2021,0,0,0,9,0,0,1
assert-command-line-output,25,9,4,2,4,18,2
awesome-chatgpt-prompts,0,0,1,30,0,0,1
aws-clis-action,49,2,3,1,0,4,2
aws-doc-sdk-examples,0,0,0,30,0,0,1
aws-ecs-cluster-using-terraform,30,6,14,1,0,0,1
bot-area,0,0,0,3,1,0,1
branch-exists,3,1,11,1,0,0,2
Calendly-mentores,0,0,0,2,0,0,1
clone-github-repo-action,314,68,29,2,15,33,3
cloud-formulas,0,0,0,2,0,1,1
command-output-file-action,4,2,3,1,0,1,2
convert-json-to-env,51,9,1,1,0,1,2
copy-push-files,25,5,1,1,3,1,2
create-other-repo-branch-action,87,25,12,3,5,9,2
ctf-zup-2021,0,0,0,1,0,0,1
DescomplicandoDocker,0,0,0,2,0,0,1
developers-tips-and-tricks-resources,15,2,2,1,16,62,9
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,2,0,0,3
diff-action,3,1,4,1,0,2,2
djangowallet,0,0,0,2,0,0,1
docker-mysql-python,156,11,7,1,4,10,3
docker-para-desenvolvedores,0,0,0,30,0,0,1
docs-ritchie,0,0,0,10,0,0,1
formulas-4-tests,0,0,0,2,0,2,2
formulas-aws,5,2,3,3,7,12,4
formulas-games,19,6,9,1,2,10,3
formulas-github,147,25,3,5,6,35,3
formulas-gRPC,0,0,17,2,0,3,2
formulas-insights,2,2,1,1,0,8,2
formulas-office-hours,0,0,0,1,0,1,2
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,3,1,0,1,2
formulas-python,2,1,1,2,3,18,4
formulas-training,0,0,52,1,0,0,1
formulas-v3,0,0,1,1,0,1,2
get-release-or-tag,0,0,1,1,0,0,1
git-commit-push,87,17,258,1,1,12,3
github-stack,0,0,2011,1,0,0,2
github-team-members,6,1,1,1,0,0,2
github_actions_test,0,0,2,2,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,1
GuillaumeFalourd,210,33,167,3,98,40,4
guillaumefalourd.github.io,0,0,3,1,0,0,2
horusec-action,0,0,7,2,0,0,1
hypedsearch,22,4,3,3,0,0,1
idea-maze,8,1,6,2,0,0,1
install-poetry,0,0,0,15,0,0,1
